25 20
#############
#...........#    ########
#...s...s...######......#
#.....g.............b...#
#...........######......#
#.....s.....#    #......#
#...........#    #...b..#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #kp.....#      #......#
  #########       ######
